Author,Work,Nation,Age
Unknown,Gilgamesh,The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Egyptian Book of the Dead,The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Holy Bible (King James Version),The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,The Apocrypha,The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Sayings of the Fathers (Pirke Aboth),The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Mahabharata,Ancient India (Sanskrit),The Theocratic Age (2000 BCE-1321 CE)
Unknown,Bhagavad-Gita,Ancient India (Sanskrit),The Theocratic Age (2000 BCE-1321 CE)
Unknown,Ramayana,Ancient India (Sanskrit),The Theocratic Age (2000 BCE-1321 CE)
Homer,Iliad,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Homer,Odyssey,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Hesiod,Works and Days,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Hesiod,Theogony,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Archilochos,Works,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Pindar,Odes,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Oresteia,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Seven Against Thebes,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Prometheus Bound,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Persians,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Suppliant Women,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Oedipus the King,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Oedipus at Colonus,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Antigone,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Electra,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Ajax,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Women of Trachis,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Philoctetes,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Cyclops,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Heracles,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Alcestis,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Hecuba,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Bacchae,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Orestes,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Andromache,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Medea,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Ion,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Hippolytus,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Helen,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Euripides,Iphigenia at Aulis,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristophanes,The Birds,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristophanes,The Clouds,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristophanes,The Frogs,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristophanes,Lysistrata,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristophanes,The Knights,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristophanes,The Wasps,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristophanes,The Assemblywomen,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Herodotus,The Histories,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Thucydides,The Peloponnesian Wars,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Plato,Dialogues,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristotle,Poetics,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aristotle,Ethics,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Menander,The Girl from Samos,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Longinus,On the Sublime,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Callimachus,Hymns and Epigrams,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Theocritus,Idylls,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Plutarch,Lives,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Plutarch,Moralia,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aesop,Fables,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Lucian,Satires,Hellenistic Greeks,The Theocratic Age (2000 BCE-1321 CE)
Plautus,Pseudolus,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Plautus,The Braggart Soldier,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Plautus,The Rope,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Plautus,Amphitryon,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Terence,The Girl from Andros,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Terence,The Eunuch,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Terence,The Mother-in-Law,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Lucretius,The Way Things Are,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Cicero,On the Gods,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Horace,Odes,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Horace,Epistles,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Horace,Satires,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Persius,Satires,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Catullus,Attis and Other Poems,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Virgil,Aeneid,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Virgil,Eclogues,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Virgil,Georgics,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Lucan,Pharsalia,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Ovid,Metamorphoses,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Ovid,The Art of Love,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Ovid,Heroides,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Juvenal,Satires,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Martial,Epigrams,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Seneca,"Tragedies, particularly Medea and Hercules Furens",The Romans,The Theocratic Age (2000 BCE-1321 CE)
Petronius,Satyricon,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Apuleius,The Golden Ass,The Romans,The Theocratic Age (2000 BCE-1321 CE)
Saint Augustine,City of God,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Saint Augustine,Confessions,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Unknown,The Koran (Al-Qur'an),"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Unknown,The Book of the Thousand Nights and One Nights,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Unknown,The Poetic Edda,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Snorri Sturluson,The Prose Edda,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Wolfram Von Eschenbach,Parzival,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Chrétien de Troyes,Yvain: The Knight of the Lion,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Unknown,Beowulf,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Christine de Pisan,The Book of the City of Ladies,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Diego de San Pedro,Prison of Love,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",The Theocratic Age (2000 BCE-1321 CE)
Dante,The Divine Comedy,Italy,The Aristocratic Age (1321-1832)
Dante,The New Life,Italy,The Aristocratic Age (1321-1832)
Petrarch,Lyric Poems,Italy,The Aristocratic Age (1321-1832)
Petrarch,Selections,Italy,The Aristocratic Age (1321-1832)
Giovanni Boccaccio,The Decameron,Italy,The Aristocratic Age (1321-1832)
Matteo Maria Boiardo,Orlando Innamorato,Italy,The Aristocratic Age (1321-1832)
Ludovico Ariosto,Orlando Furioso,Italy,The Aristocratic Age (1321-1832)
Michelangelo Buonarroti,Sonnets and Madrigals,Italy,The Aristocratic Age (1321-1832)
Niccolò Machiavelli,The Prince,Italy,The Aristocratic Age (1321-1832)
Niccolò Machiavelli,"The Mandrake, a Comedy",Italy,The Aristocratic Age (1321-1832)
Leonardo da Vinci,Notebooks,Italy,The Aristocratic Age (1321-1832)
Baldassare Castiglione,The Book of the Courtier,Italy,The Aristocratic Age (1321-1832)
Gaspara Stampa,Sonnets and Madrigals,Italy,The Aristocratic Age (1321-1832)
Giorgio Vasari,Lives of the Painters,Italy,The Aristocratic Age (1321-1832)
Benvenuto Cellini,Autobiography,Italy,The Aristocratic Age (1321-1832)
Torquato Tasso,Jerusalem Delivered,Italy,The Aristocratic Age (1321-1832)
Giordano Bruno,The Expulsion of the Triumphant Beast,Italy,The Aristocratic Age (1321-1832)
Tommaso Campanella,Poems,Italy,The Aristocratic Age (1321-1832)
Tommaso Campanella,The City of the Sun,Italy,The Aristocratic Age (1321-1832)
Giambattista Vico,Principles of a New Science,Italy,The Aristocratic Age (1321-1832)
Carlo Goldoni,The Servant of Two Masters,Italy,The Aristocratic Age (1321-1832)
Vittorio Alfieri,Saul,Italy,The Aristocratic Age (1321-1832)
Luis de Camoëns,The Lusiads,Portugal,The Aristocratic Age (1321-1832)
Antònio Ferreira,Poetry,Portugal,The Aristocratic Age (1321-1832)
Jorge Manrique,Coplas,Spain,The Aristocratic Age (1321-1832)
Fernando de Rojas,La Celestina,Spain,The Aristocratic Age (1321-1832)
Lazarillo de Tormes,Visions,Spain,The Aristocratic Age (1321-1832)
Lazarillo de Tormes,Satirical Letter of Censure,Spain,The Aristocratic Age (1321-1832)
Fray Luis de León,Poems,Spain,The Aristocratic Age (1321-1832)
St. John of the Cross,Poems,Spain,The Aristocratic Age (1321-1832)
Luis de Góngora,Sonnets,Spain,The Aristocratic Age (1321-1832)
Luis de Góngora,Soledades,Spain,The Aristocratic Age (1321-1832)
Miguel de Cervantes,Don Quixote,Spain,The Aristocratic Age (1321-1832)
Miguel de Cervantes,Exemplary Stories,Spain,The Aristocratic Age (1321-1832)
Lope de Vega,La Dorotea,Spain,The Aristocratic Age (1321-1832)
Lope de Vega,Fuente Ovejuna,Spain,The Aristocratic Age (1321-1832)
Lope de Vega,Lost in a Mirror,Spain,The Aristocratic Age (1321-1832)
Lope de Vega,The Knight of Olmedo,Spain,The Aristocratic Age (1321-1832)
Tirso de Molina,The Trickster of Seville,Spain,The Aristocratic Age (1321-1832)
Pedro Calderón de la Barca,Life is a Dream,Spain,The Aristocratic Age (1321-1832)
Pedro Calderón de la Barca,The Mayor of Zalamea,Spain,The Aristocratic Age (1321-1832)
Pedro Calderón de la Barca,The Mighty Magician,Spain,The Aristocratic Age (1321-1832)
Pedro Calderón de la Barca,The Doctor of His Own Honor,Spain,The Aristocratic Age (1321-1832)
Sor Juana Inés de la Cruz,Poems,Spain,The Aristocratic Age (1321-1832)
Geoffrey Chaucer,The Canterbury Tales,Great Britain,The Aristocratic Age (1321-1832)
Geoffrey Chaucer,Troilus and Criseyde,Great Britain,The Aristocratic Age (1321-1832)
Sir Thomas Malory,Le Morte D'Arthur,Great Britain,The Aristocratic Age (1321-1832)
William Dunbar,Poems,Great Britain,The Aristocratic Age (1321-1832)
John Skelton,Poems,Great Britain,The Aristocratic Age (1321-1832)
Sir Thomas More,Utopia,Great Britain,The Aristocratic Age (1321-1832)
Sir Thomas Wyatt,Poems,Great Britain,The Aristocratic Age (1321-1832)
"Henry Howard, Earl of Surrey",Poems,Great Britain,The Aristocratic Age (1321-1832)
Sir Philip Sidney,The Countess of Pembroke's Arcadia,Great Britain,The Aristocratic Age (1321-1832)
Sir Philip Sidney,Astrophel and Stella,Great Britain,The Aristocratic Age (1321-1832)
Sir Philip Sidney,An Apology for Poetry,Great Britain,The Aristocratic Age (1321-1832)
"Fulke Greville, Lord Brooke",Poems,Great Britain,The Aristocratic Age (1321-1832)
Edmund Spenser,The Faerie Queene,Great Britain,The Aristocratic Age (1321-1832)
Edmund Spenser,The Minor Poems,Great Britain,The Aristocratic Age (1321-1832)
Sir Walter Ralegh,Poems,Great Britain,The Aristocratic Age (1321-1832)
Christopher Marlowe,Poems and Plays,Great Britain,The Aristocratic Age (1321-1832)
Michael Drayton,Poems,Great Britain,The Aristocratic Age (1321-1832)
Samuel Daniel,Poems,Great Britain,The Aristocratic Age (1321-1832)
Samuel Daniel,A Defence of Ryme,Great Britain,The Aristocratic Age (1321-1832)
Thomas Nashe,The Unfortunate Traveller,Great Britain,The Aristocratic Age (1321-1832)
Thomas Kyd,The Spanish Tragedy,Great Britain,The Aristocratic Age (1321-1832)
William Shakespeare,Plays and Poems,Great Britain,The Aristocratic Age (1321-1832)
Thomas Campion,Songs,Great Britain,The Aristocratic Age (1321-1832)
John Donne,Poems,Great Britain,The Aristocratic Age (1321-1832)
John Donne,Sermons,Great Britain,The Aristocratic Age (1321-1832)
Ben Jonson,"Poems, Plays, and Masques",Great Britain,The Aristocratic Age (1321-1832)
Francis Bacon,Essays,Great Britain,The Aristocratic Age (1321-1832)
Robert Burton,The Anatomy of Melancholy,Great Britain,The Aristocratic Age (1321-1832)
Sir Thomas Browne,Religio Medici,Great Britain,The Aristocratic Age (1321-1832)
Sir Thomas Browne,"Hydriotaphia, or Urne-Buriall",Great Britain,The Aristocratic Age (1321-1832)
Sir Thomas Browne,The Garden of Cyrus,Great Britain,The Aristocratic Age (1321-1832)
Thomas Hobbes,Leviathan,Great Britain,The Aristocratic Age (1321-1832)
Robert Herrick,Poems,Great Britain,The Aristocratic Age (1321-1832)
Thomas Carew,Poems,Great Britain,The Aristocratic Age (1321-1832)
Richard Lovelace,Poems,Great Britain,The Aristocratic Age (1321-1832)
Andrew Marvell,Poems,Great Britain,The Aristocratic Age (1321-1832)
George Herbert,The Temple,Great Britain,The Aristocratic Age (1321-1832)
Thomas Traherne,"Centuries, Poems, and Thanksgivings",Great Britain,The Aristocratic Age (1321-1832)
Henry Vaughan,Poetry,Great Britain,The Aristocratic Age (1321-1832)
"John Wilmot, Earl of Rochester",Poems,Great Britain,The Aristocratic Age (1321-1832)
Richard Crashaw,Poems,Great Britain,The Aristocratic Age (1321-1832)
Francis Beaumont and John Fletcher,Plays,Great Britain,The Aristocratic Age (1321-1832)
George Chapman,"Comedies, Tragedies, Poems",Great Britain,The Aristocratic Age (1321-1832)
John Ford,'Tis Pity She's a Whore,Great Britain,The Aristocratic Age (1321-1832)
John Marston,The Malcontent,Great Britain,The Aristocratic Age (1321-1832)
John Webster,The White Devil,Great Britain,The Aristocratic Age (1321-1832)
John Webster,The Duchess of Malfi,Great Britain,The Aristocratic Age (1321-1832)
Thomas Middleton and William Rowley,The Changeling,Great Britain,The Aristocratic Age (1321-1832)
Cyril Tourneur,The Revenger's Tragedy,Great Britain,The Aristocratic Age (1321-1832)
Philip Massinger,A New Way to Pay Old Debts,Great Britain,The Aristocratic Age (1321-1832)
John Bunyan,The Pilgrim's Progress,Great Britain,The Aristocratic Age (1321-1832)
Izaak Walton,The Compleat Angler,Great Britain,The Aristocratic Age (1321-1832)
John Milton,Paradise Lost,Great Britain,The Aristocratic Age (1321-1832)
John Milton,Paradise Regained,Great Britain,The Aristocratic Age (1321-1832)
John Milton,"Lycidas, Comus, and the Minor Poems",Great Britain,The Aristocratic Age (1321-1832)
John Milton,Samson Agonistes,Great Britain,The Aristocratic Age (1321-1832)
John Milton,Areopagitica,Great Britain,The Aristocratic Age (1321-1832)
John Aubrey,Brief Lives,Great Britain,The Aristocratic Age (1321-1832)
Jeremy Taylor,Holy Dying,Great Britain,The Aristocratic Age (1321-1832)
Samuel Butler,Hudibras,Great Britain,The Aristocratic Age (1321-1832)
John Dryden,Poetry and Plays,Great Britain,The Aristocratic Age (1321-1832)
John Dryden,Critical Essays,Great Britain,The Aristocratic Age (1321-1832)
Thomas Otway,Venice Preserv'd,Great Britain,The Aristocratic Age (1321-1832)
William Congreve,The Way of the World,Great Britain,The Aristocratic Age (1321-1832)
William Congreve,Love for Love,Great Britain,The Aristocratic Age (1321-1832)
Jonathan Swift,A Tale of a Tub,Great Britain,The Aristocratic Age (1321-1832)
Jonathan Swift,Gulliver's Travels,Great Britain,The Aristocratic Age (1321-1832)
Jonathan Swift,Shorter Prose Works,Great Britain,The Aristocratic Age (1321-1832)
Jonathan Swift,Poems,Great Britain,The Aristocratic Age (1321-1832)
Sir George Etherege,The Man of Mode,Great Britain,The Aristocratic Age (1321-1832)
Alexander Pope,Poems,Great Britain,The Aristocratic Age (1321-1832)
John Gay,The Beggar's Opera,Great Britain,The Aristocratic Age (1321-1832)
James Boswell,Life of Johnson,Great Britain,The Aristocratic Age (1321-1832)
James Boswell,Journals,Great Britain,The Aristocratic Age (1321-1832)
Samuel Johnson,Works,Great Britain,The Aristocratic Age (1321-1832)
Edward Gibbon,The History of the Decline and Fall of the Roman Empire,Great Britain,The Aristocratic Age (1321-1832)
Edmund Burke,A Philosophical Enquiry into...the Sublime and Beautiful,Great Britain,The Aristocratic Age (1321-1832)
Edmund Burke,Reflections on the Revolution in France,Great Britain,The Aristocratic Age (1321-1832)
Maurice Morgann,An Essay on the Dramatic Character of Sir John Falstaff,Great Britain,The Aristocratic Age (1321-1832)
William Collins,Poems,Great Britain,The Aristocratic Age (1321-1832)
George Farquhar,The Beaux' Strategem,Great Britain,The Aristocratic Age (1321-1832)
George Farquhar,The Recruiting Officer,Great Britain,The Aristocratic Age (1321-1832)
William Wycherley,The Country Wife,Great Britain,The Aristocratic Age (1321-1832)
William Wycherley,The Plain Dealer,Great Britain,The Aristocratic Age (1321-1832)
Christopher Smart,Jubilate Agno,Great Britain,The Aristocratic Age (1321-1832)
Christopher Smart,A Song to David,Great Britain,The Aristocratic Age (1321-1832)
Oliver Goldsmith,The Vicar of Wakefield,Great Britain,The Aristocratic Age (1321-1832)
Oliver Goldsmith,She Stoops to Conquer,Great Britain,The Aristocratic Age (1321-1832)
Oliver Goldsmith,The Traveller,Great Britain,The Aristocratic Age (1321-1832)
Oliver Goldsmith,The Deserted Village,Great Britain,The Aristocratic Age (1321-1832)
Richard Brinsley Sheridan,The School of Scandal,Great Britain,The Aristocratic Age (1321-1832)
Richard Brinsley Sheridan,The Rivals,Great Britain,The Aristocratic Age (1321-1832)
William Cowper,Poetical Works,Great Britain,The Aristocratic Age (1321-1832)
George Crabbe,Poetical Works,Great Britain,The Aristocratic Age (1321-1832)
Daniel Defoe,Moll Flanders,Great Britain,The Aristocratic Age (1321-1832)
Daniel Defoe,Robinson Crusoe,Great Britain,The Aristocratic Age (1321-1832)
Daniel Defoe,A Journal of the Plague Year,Great Britain,The Aristocratic Age (1321-1832)
Samuel Richardson,Clarissa,Great Britain,The Aristocratic Age (1321-1832)
Samuel Richardson,Pamela,Great Britain,The Aristocratic Age (1321-1832)
Samuel Richardson,Sir Charles Grandison,Great Britain,The Aristocratic Age (1321-1832)
Henry Fielding,Joseph Andrews,Great Britain,The Aristocratic Age (1321-1832)
Henry Fielding,"The History of Tom Jones, a Foundling",Great Britain,The Aristocratic Age (1321-1832)
Tobias Smollett,The Expedition of Humphry Clinker,Great Britain,The Aristocratic Age (1321-1832)
Tobias Smollett,The Adventures of Roderick Random,Great Britain,The Aristocratic Age (1321-1832)
Laurence Sterne,"The Life and Opinions of Tristram Shandy, Gentleman",Great Britain,The Aristocratic Age (1321-1832)
Laurence Sterne,A Sentimental Journey Through France and Italy,Great Britain,The Aristocratic Age (1321-1832)
Fanny Burney,Evelina,Great Britain,The Aristocratic Age (1321-1832)
Joseph Addison and Richard Steele,The Spectator,Great Britain,The Aristocratic Age (1321-1832)
Jean Froissart,Chronicles,France,The Aristocratic Age (1321-1832)
The Song of Roland,Poems,France,The Aristocratic Age (1321-1832)
Michel de Montaigne,Essays,France,The Aristocratic Age (1321-1832)
François Rabelais,Gargantua and Pantagruel,France,The Aristocratic Age (1321-1832)
Marguerite de Navarre,The Heptameron,France,The Aristocratic Age (1321-1832)
Joachim Du Bellay,The Regrets,France,The Aristocratic Age (1321-1832)
Maurice Scève,Délie,France,The Aristocratic Age (1321-1832)
Pierre Ronsard,"Odes, Elegies, Sonnets",France,The Aristocratic Age (1321-1832)
Philippe de Commynes,Memoirs,France,The Aristocratic Age (1321-1832)
Agrippa d'Aubigné,Les Tragiques,France,The Aristocratic Age (1321-1832)
Robert Garnier,Mark Antony,France,The Aristocratic Age (1321-1832)
Robert Garnier,The Jewesses,France,The Aristocratic Age (1321-1832)
Pierre Corneille,The Cid,France,The Aristocratic Age (1321-1832)
Pierre Corneille,Polyeucte,France,The Aristocratic Age (1321-1832)
Pierre Corneille,Nicomède,France,The Aristocratic Age (1321-1832)
Pierre Corneille,Horace,France,The Aristocratic Age (1321-1832)
Pierre Corneille,Cinna,France,The Aristocratic Age (1321-1832)
Pierre Corneille,Rodogune,France,The Aristocratic Age (1321-1832)
François de La Rochefoucauld,Maxims,France,The Aristocratic Age (1321-1832)
Jean de La Fontaine,Fables,France,The Aristocratic Age (1321-1832)
Molière,The Misanthrope,France,The Aristocratic Age (1321-1832)
Molière,Tartuffe,France,The Aristocratic Age (1321-1832)
Molière,The School for Wives,France,The Aristocratic Age (1321-1832)
Molière,The Learned Ladies,France,The Aristocratic Age (1321-1832)
Molière,Don Juan,France,The Aristocratic Age (1321-1832)
Molière,School for Husbands,France,The Aristocratic Age (1321-1832)
Molière,Ridiculous Precieuses,France,The Aristocratic Age (1321-1832)
Molière,The Would-Be Gentleman,France,The Aristocratic Age (1321-1832)
Molière,The Miser,France,The Aristocratic Age (1321-1832)
Molière,The Imaginary Invalid,France,The Aristocratic Age (1321-1832)
Blaise Pascal,Pensées,France,The Aristocratic Age (1321-1832)
Jacques-Bénigne Bosuet,Funerary Orations,France,The Aristocratic Age (1321-1832)
Nicolas Boileau-Despréaux,The Art of Poetry,France,The Aristocratic Age (1321-1832)
Nicolas Boileau-Despréaux,Lutrin,France,The Aristocratic Age (1321-1832)
Jean Racine,Phaedra,France,The Aristocratic Age (1321-1832)
Jean Racine,Andromache,France,The Aristocratic Age (1321-1832)
Jean Racine,Britannicus,France,The Aristocratic Age (1321-1832)
Jean Racine,Athaliah,France,The Aristocratic Age (1321-1832)
Pierre Carlet de Marivaux,Seven Comedies,France,The Aristocratic Age (1321-1832)
Jean-Jacques Rousseau,The Confessions,France,The Aristocratic Age (1321-1832)
Jean-Jacques Rousseau,Émile,France,The Aristocratic Age (1321-1832)
Jean-Jacques Rousseau,La Nouvelle Héloïse,France,The Aristocratic Age (1321-1832)
Voltaire,Zadig,France,The Aristocratic Age (1321-1832)
Voltaire,Candide,France,The Aristocratic Age (1321-1832)
Voltaire,Letters on England,France,The Aristocratic Age (1321-1832)
Voltaire,The Lisbon Earthquake,France,The Aristocratic Age (1321-1832)
Abbé Prévost,Manon Lescaut,France,The Aristocratic Age (1321-1832)
Madame de La Fayette,The Princess of Cleves,France,The Aristocratic Age (1321-1832)
Sébastien-Roch Nicolas de Chamfort,Products of the Perfected Civilization,France,The Aristocratic Age (1321-1832)
Denis Diderot,Rameau's Nephew,France,The Aristocratic Age (1321-1832)
Choderlos de Laclos,Dangerous Liaisons,France,The Aristocratic Age (1321-1832)
Erasmus,In Praise of Folly,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,"Faust, Parts One and Two",Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Dichtung und Wahrheit,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Egmont,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Elective Affinities,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,The Sorrows of Young Werther,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Poems,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Wilhelm Meister's Apprenticeship,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Wilhelm Meister's Years of Wandering,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Italian Journey,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Verse Plays,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Hermann and Dorothea,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Roman Elegies,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,Venetian Epigrams,Germany,The Aristocratic Age (1321-1832)
Johann Wolfgang von Goethe,West-Eastern Divan,Germany,The Aristocratic Age (1321-1832)
Friedrich Schiller,The Robbers,Germany,The Aristocratic Age (1321-1832)
Friedrich Schiller,Mary Stuart,Germany,The Aristocratic Age (1321-1832)
Friedrich Schiller,Wallenstein,Germany,The Aristocratic Age (1321-1832)
Friedrich Schiller,Don Carlos,Germany,The Aristocratic Age (1321-1832)
Friedrich Schiller,On the Naïve and Sentimental in Literature,Germany,The Aristocratic Age (1321-1832)
Gotthold Lessing,Laocoön,Germany,The Aristocratic Age (1321-1832)
Gotthold Lessing,Nathan the Wise,Germany,The Aristocratic Age (1321-1832)
Freidrich Hölderlin,Hymns and Fragments,Germany,The Aristocratic Age (1321-1832)
Freidrich Hölderlin,Selected Poems,Germany,The Aristocratic Age (1321-1832)
Heinrich von Kleist,Five Plays,Germany,The Aristocratic Age (1321-1832)
Heinrich von Kleist,Stories,Germany,The Aristocratic Age (1321-1832)
Ugo Foscolo,On Sepulchres,Italy,The Democratic Age (1832-1900)
Ugo Foscolo,Last Letters of Jacopo Ortis,Italy,The Democratic Age (1832-1900)
Ugo Foscolo,Odes and The Graces,Italy,The Democratic Age (1832-1900)
Alessandro Manzoni,The Betrothed,Italy,The Democratic Age (1832-1900)
Alessandro Manzoni,On the Historical Novel,Italy,The Democratic Age (1832-1900)
Giacomo Leopardi,Essays and Dialogues,Italy,The Democratic Age (1832-1900)
Giacomo Leopardi,Poems,Italy,The Democratic Age (1832-1900)
Giacomo Leopardi,The Moral Essays,Italy,The Democratic Age (1832-1900)
Giuseppe Gioacchino Belli,Roman Sonnets,Italy,The Democratic Age (1832-1900)
Giosué Carducci,Hymn to Satan,Italy,The Democratic Age (1832-1900)
Giosué Carducci,Barbarian Odes,Italy,The Democratic Age (1832-1900)
